Period,RSI
14,56.07846250394608
15,49.0854342416666
16,53.497879091300405
17,47.23565706398833
18,47.50829795303434
19,41.26683605912655
20,44.29893344682538
21,52.7477956224261
22,49.62869867014546
23,34.91207502135035
24,33.58660045546998
25,32.29994122817811
26,48.86698714297708
27,64.23566494054381
28,68.81379692448834
29,73.40563234445415
30,73.54622200142938
31,89.7318296802633
32,91.81692840433888
33,93.89385210428031
34,84.41645119270599
35,85.04568825294061
36,83.36676001377087
37,83.33270512122176
38,76.6175800769199
39,78.19407561825855
40,75.98749635904447
41,70.98175936677353
42,77.17266179845345
43,78.76172508802105
44,77.32509165518363
45,84.16588423997607
46,85.46255304814929
47,82.5761745822168
48,85.42230598270525
49,86.3381939373662
50,83.71658634504388
51,75.86714357601907
52,78.34938084194062
53,79.78617996704888
54,78.23511027687248
